"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Domestic credit to private sector by banks (% of GDP)","FD.AST.PRVT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","39.4643250688705","39.4419243986254","43.7756554307116","43.3563855421687","44.4888239590942","44.2259449071108","43.2829254079254","40.9021660649819","42.4448878923767","43.0618443316413","45.4161133603239","43.2337709700948","41.870110701107","44.6205252918288","44.7997006095161","46.5928526526089","50.7912122333912","55.0125172180073","51.7852298243845","54.0607007192211","53.8841202639004","51.7272559982541","50.6584576108456","55.8930411328093","58.8006572951036","56.2504341594081","58.6859032351161","59.1636851428981","60.2405386637617","56.6268817632089","57.2219316866237","57.246534425591","55.9651018283957","59.6493537497553","82.0939664354264","68.6460015848153","60.5316284506998","56.711929646071","","",
"Africa Eastern and Southern","AFE","Domestic credit to private sector by banks (% of GDP)","FD.AST.PRVT.GD.ZS","","","","","","21.3388231003441","20.6797874984982","21.9535267196579","21.993185233957","22.3371182123495","25.2660011319905","25.5889513813603","25.0246260276005","26.9207245788783","26.7372768945751","27.2732629455084","25.2572018507883","24.0818964798915","24.128328384427","24.5221734137633","25.6134892619924","27.7776730377523","27.3849801081271","29.5388608378777","29.4476554118039","26.6044821101732","26.4456623415399","28.3802119236802","29.5121091212102","29.465047770895","28.7320736297657","","36.6964958402279","35.5149572680993","37.8593396793374","37.9920253956265","38.7754801823772","39.6555168379058","41.5967534630321","41.4642840641233","38.4002042657255","41.7500201433705","32.2608341586041","36.8775460472359","38.5550006889144","39.1826719530084","41.7161333352717","42.9990296577125","39.8312500669832","41.4482194268336","40.7873907023983","39.2778490446926","39.6448129493418","37.6045167440676","36.926514371652","38.5787970024901","38.4014619654637","36.5671548625635","36.221608464885","36.0543375831147","36.3533970419781","34.429895768253","31.7455965769081","32.9796288395842","","",
"Afghanistan","AFG","Domestic credit to private sector by banks (% of GDP)","FD.AST.PRVT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.84285686566253","6.83998223656721","9.38832772083979","10.58413068423","11.5750442390122","4.95918037606027","4.17944854276306","4.10825623711864","3.73272021162013","3.78980675535297","3.77581257666065","3.71038110758839","3.44212677085205","3.1735454944513","2.99421260598445","","","","","",
"Africa Western and Central","AFW","Domestic credit to private sector by banks (% of GDP)","FD.AST.PRVT.GD.ZS","6.15642010744633","6.57620171863046","7.22243729652118","8.12622817556157","8.49583203935501","8.48931253310299","8.54537692902403","8.96705934022621","9.02385152240763","8.82962933271654","7.35774180354175","9.21790523000764","9.48324408513679","10.1343853773034","9.18267614454502","11.4656325037287","11.6313702708894","13.9510369879152","16.3546726593203","16.0579847972792","16.6074552662829","9.27512627148368","9.97625880847951","10.9036265334122","10.9332111539953","10.8631651422932","14.1948678335922","14.7964957470259","13.6915250015687","12.8326693865232","12.5368939534902","11.6330101838783","11.5543346706959","9.87659186153588","8.28607774626679","7.24584829765623","6.70085722908574","7.34811239655139","7.87493356326359","8.52451895218491","8.53691159676637","9.16700363222922","8.2873394798056","8.91677590704845","8.65360134590539","8.62991505602366","8.46247690884353","12.0590593550325","15.1410993171568","16.3142676026457","12.9311820426651","11.7872496114261","11.5318464140321","12.4959261164019","13.9042205203537","14.3575477093029","15.7527838717366","14.7798945125068","13.1486145437947","10.6574909950697","11.2043333538279","11.9662131791178","12.4341693761045","15.2005410362957","","",
"Angola","AGO","Domestic credit to private sector by banks (% of GDP)","FD.AST.PRVT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.78521241666833","3.17745379075588","5.16969314156703","3.52275914782064","2.52098260701182","1.96653982570438","3.61837428065332","3.03311210864388","3.48172606084937","3.83757780673708","3.75414672072978","5.73842137344726","8.73470187046142","10.7640890394211","19.7878758431169","17.1489083789989","16.7260465617353","17.841317732353","18.974551825246","17.6209947984728","21.1900160166669","17.5708289576439","13.9036682684999","12.2774239221397","12.519911409315","10.2406285031165","7.75707708708077","5.99636978892515","6.53112872664046","6.33096352029004","",
"Albania","ALB","Domestic credit to private sector by banks (% of GDP)","FD.AST.PRVT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.04586220706562","3.0995766607703","3.22197930965615","3.86574798468758","3.78095946298252","4.0171836777341","4.72926682323161","5.99185280537185","6.23658613419428","7.40498530869957","9.34353472755049","14.9949314067695","21.694385269331","28.7382254050496","34.3256419939269","35.915643530046","36.8712781153133","39.0627057245222","39.150038352089","37.8111440431648","37.2107984859343","35.1058492861305","34.2141279270655","31.9767041908472","30.0983798178823","30.977709431393","34.9031046234328","33.6074118897679","31.2493414294793","29.8471905522004","31.4383112473227","",
"Andorra","AND","Domestic credit to private sector by banks (% of GDP)","FD.AST.PRVT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Domestic credit to private sector by banks (% of GDP)","FD.AST.PRVT.GD.ZS","12.8735428412091","13.4926230701194","12.731713788399","12.835752675976","11.8874968096935","12.0687229144908","11.9744474787702","11.7553674653691","12.9037974524408","13.7499351021976","12.9777724244755","12.9384913035424","14.7238731545152","14.9544287460315","10.9791174630943","14.2079196221626","14.9417926152289","16.2444795689611","18.8737587336871","18.2265229782737","16.2801268448851","19.104699087455","23.1749621219048","27.4109682643377","29.3662095620267","31.5645806794866","37.5252865647293","37.3474631302547","38.517604395357","35.1663055449266","25.6297297135784","23.0345358039673","20.8968272309736","21.9626582089488","23.5996135238159","25.9071449065784","25.8089122432013","28.7326911438302","34.3506975679998","34.5430968408331","32.2500488300581","34.0337619417712","34.7610606069633","33.6520950597676","32.9315599653045","33.9870810141715","34.0052640698379","37.2489965831621","38.6506267188998","45.3710511528353","40.730221632466","37.2531529155819","36.5112060831525","38.1046679868507","41.5538718967936","50.5976237697303","53.9107287473849","51.7094111193115","","","","","","","","",
"United Arab Emirates","ARE","Domestic credit to private sector by banks (% of GDP)","FD.AST.PRVT.GD.ZS","","","","","","","","","","","","","","9.62257451500819","7.28709770570032","9.76008780203385","13.7873102394965","16.2947817309079","21.0305190078335","17.8034696635249","15.5736893552259","16.5108253314412","18.5289099747593","21.298534343955","21.7523798354151","22.5603799914126","29.0769378927348","29.1793754538853","31.9090171813048","30.2763142335335","25.1965077233042","26.7469141021305","26.9762746594881","28.2522037218413","29.3217092540961","29.7329548985892","29.2235633886256","31.0709769261069","36.851687932238","35.5584504362743","31.2720686676462","34.4082422274467","36.1001735680635","36.1630702795503","37.7109332547409","43.7556575674849","47.286885376531","56.0323776363312","67.610924076344","84.4646663341218","70.0809264512521","60.4639644028711","57.7133017315363","57.1648976053859","61.4525909327127","74.1377933783672","78.4671892120161","74.7748349824958","71.1874913857414","72.7325153081651","86.0266666260063","73.8536279115337","63.5529827823328","66.0640952832499","67.9657939482738","",
"Argentina","ARG","Domestic credit to private sector by banks (% of GDP)","FD.AST.PRVT.GD.ZS","10.7977469263099","11.810042509103","10.2282145552805","9.90251749915194","9.40267697440415","8.92375356887832","9.7298918924369","9.58187071682922","12.1475430834622","13.053375109778","14.2059661257195","17.4209750944231","16.5548611815692","15.6482608053113","17.9466845483758","15.3590039236442","11.8332213213078","15.269192224964","17.1984341271811","20.7231358480453","21.7295078957851","29.6977651151243","31.3181100560577","26.5588638231802","24.0506119455824","16.9285824693685","16.5215522681063","20.9234516099999","20.0320597504097","39.4377419896227","15.5276981216118","12.4655879980545","15.2507520184031","18.0123062130973","19.9549452299565","19.6796231471515","19.8760428771292","21.5569355901645","23.5909907483988","24.136100774893","23.1674223158561","20.1560327767269","15.1156737475206","10.6211819600196","9.50128495325813","10.4169307391323","11.532388513893","12.6122114252425","11.8227697298621","11.9992817487158","12.4960013900972","13.842100943339","15.0377690033615","15.5654555378253","13.6569400728306","14.2385254616337","13.4965267916168","15.7212691624528","15.3763265573184","12.7789482484627","13.4554773021172","11.2727076291742","10.6415800663745","11.8385758763716","13.0788404106215","",
