quarter,npa_ratio,repo_rate,gdp_growth
2005Q2,-0.3918106293504522,0.0,0.0
2005Q3,-0.3918106293504522,0.0,0.0
2005Q4,-0.39181062935045174,0.0,0.0
2006Q1,-0.3918106293504522,-0.5711346175244474,0.03432548754583209
2006Q2,-0.2079020043575186,-0.5711346175244474,0.03432548754583298
2006Q3,-0.20790200435751816,-0.5711346175244474,0.03432548754583209
2006Q4,-0.2079020043575186,-0.5711346175244474,0.03432548754583209
2007Q1,-0.2079020043575186,0.7778093406922024,-0.0999793761639527
2007Q2,-0.06384642337131474,0.7778093406922024,-0.0999793761639527
2007Q3,-0.06384642337131474,0.777809340692202,-0.0999793761639518
2007Q4,-0.06384642337131474,0.7778093406922029,-0.0999793761639527
2008Q1,-0.06384642337131474,-0.4775219537207924,-1.1435292519477223
2008Q2,0.012912510102403907,-0.4775219537207924,-1.1435292519477223
2008Q3,0.012912510102403907,-0.4775219537207924,-1.1435292519477223
2008Q4,0.012912510102404351,-0.4775219537207924,-1.1435292519477227
2009Q1,0.012912510102403907,0.25920896450300734,1.193797693410232
2009Q2,0.04807655377065201,0.25920896450300734,1.1937976934102323
2009Q3,0.04807655377065245,0.25920896450300823,1.1937976934102323
2009Q4,0.04807655377065201,0.25920896450300734,1.1937976934102332
2010Q1,0.04807655377065201,-1.6981128322661574,0.15892396733790282
2010Q2,-0.03820197818235771,-1.6981128322661578,0.15892396733790193
2010Q3,-0.03820197818235771,-1.6981128322661578,0.1589239673379037
2010Q4,-0.038201978182358154,-1.6981128322661574,0.15892396733790193
2011Q1,-0.03820197818235771,0.8254600208347025,-0.8140671257088501
2011Q2,0.14850626901004738,0.8254600208347025,-0.8140671257088501
2011Q3,0.14850626901004738,0.8254600208347025,-0.8140671257088501
2011Q4,0.14850626901004738,0.8254600208347027,-0.8140671257088501
2012Q1,0.14850626901004738,0.288884906717215,0.053767838072229956
2012Q2,0.07041595273097423,0.2888849067172148,0.053767838072229956
2012Q3,0.07041595273097423,0.288884906717215,0.053767838072229956
2012Q4,0.07041595273097423,0.288884906717215,0.053767838072229956
2013Q1,0.07041595273097423,0.34811809347492506,0.23242971232059517
2013Q2,0.1493212540823392,0.34811809347492506,0.23242971232059517
2013Q3,0.14932125408233876,0.34811809347492506,0.23242971232059517
2013Q4,0.14932125408233876,0.34811809347492506,0.23242971232059517
2014Q1,0.1493212540823392,0.7072958069318025,0.2560303010350724
2014Q2,0.11143550558030046,0.7072958069318025,0.2560303010350724
2014Q3,0.11143550558030091,0.7072958069318025,0.2560303010350724
2014Q4,0.11143550558030046,0.7072958069318025,0.2560303010350724
2015Q1,0.11143550558030046,0.21532808077598453,0.1465065451565426
2015Q2,0.803498345196199,0.21532808077598542,0.1465065451565426
2015Q3,0.803498345196199,0.21532808077598542,0.1465065451565417
2015Q4,0.803498345196199,0.21532808077598453,0.1465065451565426
2016Q1,0.803498345196199,-0.33094424967891456,0.06501292901903799
2016Q2,0.45945646731014556,-0.33094424967891545,0.0650129290190371
2016Q3,0.45945646731014467,-0.33094424967891545,0.06501292901903888
2016Q4,0.45945646731014556,-0.33094424967891456,0.0650129290190371
2017Q1,0.45945646731014556,-0.22627563811277263,-0.36523052070293716
2017Q2,0.46490185067465895,-0.22627563811277263,-0.36523052070293804
2017Q3,0.4649018506746607,-0.22627563811277174,-0.36523052070293804
2017Q4,0.46490185067465895,-0.22627563811277263,-0.36523052070293716
2018Q1,0.46490185067465895,0.008514381793895076,-0.08538301850035523
2018Q2,-0.5267211485347385,0.008514381793894188,-0.08538301850035523
2018Q3,-0.5267211485347385,0.008514381793895076,-0.08538301850035435
2018Q4,-0.5267211485347367,0.008514381793895076,-0.08538301850035523
2019Q1,-0.5267211485347385,0.3833022594371176,-0.6456036010685322
2019Q2,-0.2172114625134931,0.3833022594371176,-0.6456036010685331
2019Q3,-0.21721146251349488,0.3833022594371176,-0.6456036010685322
2019Q4,-0.2172114625134931,0.3833022594371176,-0.6456036010685327
2020Q1,-0.2172114625134931,-0.6897189623582705,-2.4122904118928927
2020Q2,-0.22035823436692237,-0.6897189623582696,-2.4122904118928927
2020Q3,-0.22035823436692237,-0.6897189623582696,-2.4122904118928927
2020Q4,-0.22035823436692326,-0.6897189623582705,-2.4122904118928923
2021Q1,-0.22035823436692237,-0.9547636084130535,3.86682929969919
2021Q2,-0.3756360750112675,-0.9547636084130535,3.86682929969919
2021Q3,-0.3756360750112666,-0.9547636084130535,3.866829299699189
2021Q4,-0.3756360750112675,-0.9547636084130535,3.866829299699191
2022Q1,-0.3756360750112675,0.5510925763135035,-0.5200568785599504
2022Q2,0.0,0.5510925763135035,-0.5200568785599504
2022Q3,0.0,0.5510925763135035,-0.5200568785599486
2022Q4,0.0,0.5510925763135035,-0.5200568785599504
