series,adf_stat,p_value,used_lag,n_obs,critical_5pct,stationary_at_5pct
gdp_growth,-1.960313800106234,0.30424048309943363,9,56,-2.9147306250000002,False
npa_ratio,-1.9582639048696238,0.30516723768920084,1,64,-2.907887369384766,False
repo_rate,-2.4091112595860453,0.1391813192942679,5,60,-2.9110731481481484,False
