quarter,npa_ratio,repo_rate,gdp_growth
2005Q4,3.7399411560997344,3.1417413192927475,8.026407084120677
2006Q1,3.3481305267492822,2.5706067017683,8.06073257166651
2006Q2,3.1402285223917636,3.3484160424605025,7.960753195502557
2006Q3,2.9323265180342455,4.126225383152705,7.860773819338604
2006Q4,2.724424513676727,4.904034723844907,7.760794443174652
2007Q1,2.5165225093192083,5.68184406453711,7.6608150670107
2007Q2,2.4526760859478935,5.204322110816317,6.517285815062977
2007Q3,2.388829662576579,4.726800157095525,5.373756563115255
2007Q4,2.324983239205264,4.2492782033747325,4.230227311167533
2008Q1,2.2611368158339493,3.77175624965394,3.08669805921981
2008Q2,2.2740493259363532,4.030965214156947,4.280495752630042
2008Q3,2.286961836038757,4.290174178659955,5.474293446040274
2008Q4,2.2998743461411615,4.549383143162963,6.668091139450507
2009Q1,2.3127868562435654,4.80859210766597,7.86188883286074
2009Q2,2.3608634100142174,3.110479275399813,8.020812800198643
2009Q3,2.40893996378487,1.4123664431336551,8.179736767536545
2009Q4,2.457016517555522,-0.2857463891325027,8.338660734874448
2010Q1,2.505093071326174,-1.98385922139866,8.49758470221235
2010Q2,2.466891093143816,-1.1583992005639576,7.6835175765035
2010Q3,2.4286891149614585,-0.33293917972925513,6.86945045079465
2010Q4,2.3904871367791003,0.49252084110544736,6.0553833250858
2011Q1,2.3522851585967426,1.31798086194015,5.24131619937695
2011Q2,2.50079142760679,1.606865768657365,5.29508403744918
2011Q3,2.6492976966168373,1.8957506753745799,5.34885187552141
2011Q4,2.7978039656268847,2.184635582091795,5.40261971359364
2012Q1,2.946310234636932,2.47352048880901,5.45638755166587
2012Q2,3.0167261873679063,2.821638582283935,5.688817263986465
2012Q3,3.0871421400988805,3.16975667575886,5.92124697630706
2012Q4,3.157558092829855,3.517874769233785,6.153676688627655
2013Q1,3.227974045560829,3.86599286270871,6.38610640094825
2013Q2,3.377295299643168,4.573288669640513,6.642136701983323
2013Q3,3.526616553725507,5.280584476572315,6.898167003018395
2013Q4,3.6759378078078457,5.987880283504118,7.154197304053468
2014Q1,3.825259061890185,6.69517609043592,7.41022760508854
2014Q2,3.9366945674704854,6.910504171211905,7.556734150245083
2014Q3,4.048130073050786,7.12583225198789,7.703240695401625
2014Q4,4.159565578631087,7.3411603327638755,7.849747240558167
2015Q1,4.271001084211387,7.55648841353986,7.99625378571471
2015Q2,5.074499429407586,7.2255441638609454,8.061266714733748
2015Q3,5.877997774603785,6.89459991418203,8.126279643752785
2015Q4,6.681496119799984,6.5636556645031146,8.191292572771824
2016Q1,7.484994464996183,6.2327114148242,8.25630550179086
2016Q2,7.944450932306329,6.006435776711427,7.8910749810879235
2016Q3,8.403907399616473,5.780160138598655,7.5258444603849854
2016Q4,8.863363866926619,5.553884500485883,7.160613939682047
2017Q1,9.322820334236765,5.32760886237311,6.79538341897911
2017Q2,9.787722184911424,5.3361232441670055,6.710000400478755
2017Q3,10.252624035586084,5.3446376259609,6.6246173819784
2017Q4,10.717525886260743,5.353152007754795,6.539234363478045
2018Q1,11.182427736935402,5.36166638954869,6.45385134497769
2018Q2,10.655706588400664,5.744968648985807,5.808247743909158
2018Q3,10.128985439865925,6.128270908422925,5.162644142840625
2018Q4,9.602264291331188,6.511573167860043,4.517040541772093
2019Q1,9.07554314279645,6.89487542729716,3.87143694070356
2019Q2,8.858331680282957,6.20515646493889,1.4591465288106673
2019Q3,8.641120217769462,5.51543750258062,-0.9531438830822254
2019Q4,8.423908755255969,4.825718540222351,-3.365434294975118
2020Q1,8.206697292742476,4.13599957786408,-5.77772470686801
2020Q2,7.986339058375553,3.1812359694510266,-1.9108954071688204
2020Q3,7.765980824008631,2.226472361037973,1.9559338925303695
2020Q4,7.545622589641708,1.2717087526249196,5.822763192229559
2021Q1,7.325264355274785,0.316945144211866,9.68959249192875
2021Q2,6.949628280263518,0.8680377205253695,9.169535613368799
2021Q3,6.573992205252251,1.419130296838873,8.649478734808849
2021Q4,6.198356130240984,1.9702228731523765,8.1294218562489
2022Q1,5.822720055229716,2.52131544946588,7.60936497768895
